complaint_id,customer_id,state_id,category_id,complaint_date,status,resolution_date,description,priority_level
1,1,1,1,2023-01-15,Resolved,2023-01-20,Theft reported in Mumbai,High
2,2,2,2,2023-02-10,Open,,Water supply issue in Bengaluru,Medium
3,3,3,3,2023-03-05,In Progress,,Robbery in Kolkata,High
4,4,4,4,2023-04-12,Resolved,2023-04-18,Domestic violence case in Lucknow,High
5,5,5,5,2023-05-20,Open,,Electricity problem in Guwahati,Low
6,6,6,1,2023-06-25,Resolved,2023-06-30,Theft in Bhopal,Medium
119,3247,5,3,2023-12-18,Resolved,2023-02-27,Complaint description 1,High
120,3937,2,2,2024-11-24,In Progress,,Complaint description 2,Low
121,3494,4,2,2025-02-25,In Progress,,Complaint description 3,Medium
122,3132,3,1,2025-11-25,In Progress,,Complaint description 4,Medium
123,3892,1,2,2025-08-23,Open,,Complaint description 5,Medium
124,3231,4,2,2024-10-02,Open,,Complaint description 6,Medium
125,3690,1,5,2025-05-26,Open,,Complaint description 7,Low
126,4006,3,3,2023-08-29,Resolved,2024-10-21,Complaint description 8,Low
127,3168,1,3,2023-08-25,Resolved,2024-09-06,Complaint description 9,Low
128,3622,3,3,2025-05-28,Resolved,2025-09-26,Complaint description 10,Medium
129,3800,2,3,2023-10-04,Resolved,2024-05-24,Complaint description 11,High
130,3136,1,5,2025-10-26,Resolved,2024-10-17,Complaint description 12,Low
131,3283,1,2,2023-11-11,Open,,Complaint description 13,Medium
132,4014,2,4,2023-04-30,Open,,Complaint description 14,Medium
133,3841,1,2,2024-03-16,Open,,Complaint description 15,Low
134,3974,2,3,2024-10-19,Resolved,2025-05-26,Complaint description 16,Low
135,3627,2,2,2025-08-12,Open,,Complaint description 17,Low
136,3498,1,1,2023-01-02,In Progress,,Complaint description 18,Medium
137,3409,1,1,2025-04-14,Resolved,2023-10-19,Complaint description 19,High
138,4026,4,4,2023-10-17,Open,,Complaint description 20,Medium
139,3310,4,3,2024-04-21,Resolved,2024-09-09,Complaint description 21,Medium
140,3150,1,3,2023-05-14,In Progress,,Complaint description 22,High
141,3847,2,4,2024-11-09,Open,,Complaint description 23,Low
142,3756,2,3,2023-11-02,Resolved,2023-10-28,Complaint description 24,Medium
143,3902,5,2,2025-10-02,Resolved,2024-11-05,Complaint description 25,High
144,3308,3,5,2025-06-23,Resolved,2025-10-08,Complaint description 26,Low
145,3828,4,3,2023-06-17,Resolved,2023-04-11,Complaint description 27,Medium
146,3452,1,4,2023-07-24,In Progress,,Complaint description 28,Medium
147,3849,2,1,2025-12-08,Open,,Complaint description 29,High
148,4000,4,3,2023-07-28,Resolved,2023-02-27,Complaint description 30,Medium
149,3816,1,5,2023-12-22,Resolved,2025-06-11,Complaint description 31,Medium
150,3283,5,5,2025-10-09,In Progress,,Complaint description 32,Medium
151,3476,3,2,2023-04-19,Resolved,2023-08-03,Complaint description 33,Medium
152,3756,2,1,2025-12-14,Resolved,2023-09-02,Complaint description 34,Low
153,3529,1,4,2024-11-12,Resolved,2025-03-24,Complaint description 35,High
154,3287,6,2,2023-07-07,Resolved,2025-03-31,Complaint description 36,Low
155,3605,6,1,2025-05-16,Open,,Complaint description 37,Low
156,3450,4,5,2023-01-05,Resolved,2023-03-23,Complaint description 38,Low
157,3802,2,3,2023-08-07,Open,,Complaint description 39,High
158,3214,3,3,2023-05-19,In Progress,,Complaint description 40,Low
159,3823,2,4,2023-07-01,In Progress,,Complaint description 41,Low
160,3650,6,5,2023-11-09,Resolved,2023-11-07,Complaint description 42,Medium
161,3838,6,4,2024-08-27,Resolved,2023-04-19,Complaint description 43,High
162,3139,4,1,2025-02-12,Resolved,2023-01-26,Complaint description 44,Low
163,3962,2,4,2024-12-14,In Progress,,Complaint description 45,Medium
164,3439,5,4,2025-02-11,Open,,Complaint description 46,Medium
165,3286,4,5,2025-09-13,Resolved,2025-03-08,Complaint description 47,Medium
